lat,lon,sequence
-29.213417,-51.358884,228
-29.213403,-51.359059,229
-29.213383,-51.359233,230
-29.213338,-51.359545,231
-29.213309,-51.359703,232
-29.21328,-51.359868,233
-29.213262,-51.360029,234
-29.213228,-51.36034,235
-29.213184,-51.360503,236
-29.21314,-51.360641,237
-29.213096,-51.360775,238
-29.212939,-51.361032,239
-29.212844,-51.361142,240
-29.212735,-51.361256,241
-29.212628,-51.361363,242
-29.212512,-51.361477,243
-29.212401,-51.361593,244
-29.212285,-51.361704,245
-29.212173,-51.361807,246
-29.21206,-51.361916,247
-29.21182,-51.362118,248
-29.211664,-51.362264,249
-29.211542,-51.362341,250
-29.211426,-51.362409,251
-29.211301,-51.362482,252
-29.211174,-51.362496,253
-29.21106,-51.362437,254
-29.211033,-51.362325,255
-29.211077,-51.362155,256
-29.211127,-51.361887,257
-29.211131,-51.361726,258
-29.211125,-51.361561,259
-29.211125,-51.361425,260
-29.211119,-51.36127,261
-29.211125,-51.36111,262
-29.211164,-51.360932,263
-29.211168,-51.360763,264
-29.211169,-51.360597,265
-29.211161,-51.360423,266
-29.211157,-51.360227,267
-29.211138,-51.360061,268
-29.211144,-51.359909,269
-29.211124,-51.359753,270
-29.211108,-51.359573,271
-29.211103,-51.359352,272
-29.211093,-51.359154,273
-29.211088,-51.358943,274
-29.211092,-51.35875,275
-29.211095,-51.358561,276
-29.211096,-51.35836,277
-29.211083,-51.358163,278
-29.211077,-51.357964,279
-29.211087,-51.357801,280
-29.211077,-51.357617,281
-29.211069,-51.357422,282
-29.211072,-51.357318,283
-29.211063,-51.357109,284
-29.211061,-51.357005,285
-29.211058,-51.356815,286
-29.211048,-51.356636,287
-29.211037,-51.356481,288
-29.211101,-51.356367,289
-29.211207,-51.356348,290
-29.211352,-51.356336,291
-29.211495,-51.356325,292
-29.211622,-51.356321,293
-29.211733,-51.356318,294
-29.211829,-51.356304,295
-29.211938,-51.356286,296
-29.212048,-51.356289,297
-29.21221,-51.356283,298
-29.212342,-51.356268,299
-29.212462,-51.356281,300
-29.212569,-51.356241,301
-29.212625,-51.356113,302
-29.212619,-51.35597,303
-29.212609,-51.3558,304
-29.212623,-51.355628,305
-29.212635,-51.355503,306
-29.212618,-51.355386,307
-29.212582,-51.355287,308
-29.212593,-51.355164,309
